Sex,Age,Pclass,Survived,Family,Fare,Embarked
Lobb Mrs. William Arthur (Cordelia K Stanlick),female,26,3,0,1,16.1,S
Devaney Miss. Margaret Delia,female,19,3,1,0,7.88,Q
Daniel Mr. Robert Williams,male,27,1,1,0,30.5,S
Trout Mrs. William H (Jessie L),female,28,2,1,0,12.65,S
Petroff Mr. Nedelio,male,19,3,0,0,7.9,S
Badt Mr. Mohamed,male,40,3,0,0,7.23,C
Cameron Miss. Clear Annie,female,35,2,1,0,21,S
Lewy Mr. Ervin G,male,,1,0,0,27.72,C
O'Dwyer Miss. Ellen,female,,3,1,0,7.88,Q
Nilsson Miss. Helmina Josefina,female,26,3,1,0,7.85,S
Meanwell Miss. (Marion Ogden),female,,3,0,0,8.05,S
Meek Mrs. Thomas (Annie Louise Rowley),female,,3,0,0,8.05,S
Hamalainen Master. Viljo,male,1,2,1,1,14.5,S
McNamee Mr. Neal,male,24,3,0,1,16.1,S
Flynn Mr. John,male,,3,0,0,6.95,Q
Hampe Mr. Leon,male,20,3,0,0,9.5,S
Alexander Mr. William,male,26,3,0,0,7.89,S
Crosby Miss. Harriet R,female,36,1,1,0,71,S
Wright Mr. George,male,62,1,0,0,26.55,S
Jardin Mr. Jose Neto,male,,3,0,0,7.05,S
Goldsmith Mrs. Frank John (Emily Alice Brown),female,31,3,1,1,20.53,S
Robert Mrs. Edward Scott (Elisabeth Walton McMillan),female,43,1,1,0,211.34,S
Endres Miss. Caroline Louise,female,38,1,1,0,227.53,C
Arnold-Franchi Mrs. Josef (Josefine Franchi),female,18,3,0,1,17.8,S
Williams Mr. Howard Hugh (Harry),male,,3,0,0,8.05,S
Kassem Mr. Fared,male,,3,0,0,7.23,C
Drazenoic Mr. Jozef,male,33,3,0,0,7.9,C
Johnston Miss. Catherine Helen (Carrie),female,,3,0,1,23.45,S
Mellors Mr. William John,male,19,2,1,0,10.5,S
Carter Mrs. Ernest Courtenay (Lilian Hughes),female,44,2,0,1,26,S
Beane Mrs. Edward (Ethel Clarke),female,19,2,1,1,26,S
Lines Miss. Mary Conover,female,16,1,1,0,39.4,S
McEvoy Mr. Michael,male,,3,0,0,15.5,Q
Laroche Mrs. Joseph (Juliette Marie Louise Lafargue),female,22,2,1,1,41.58,C
Kimball Mr. Edwin Nelson Jr,male,42,1,1,1,52.55,S
Downton Mr. William James,male,54,2,0,0,26,S
Hart Miss. Eva Miriam,female,7,2,1,0,26.25,S
Pengelly Mr. Frederick William,male,19,2,0,0,10.5,S
Sandstrom Miss. Marguerite Rut,female,4,3,1,1,16.7,S
Lindblom Miss. Augusta Charlotta,female,45,3,0,0,7.75,S
Caram Mrs. Joseph (Maria Elias),female,,3,0,1,14.46,C
Newell Mr. Arthur Webster,male,58,1,0,0,113.28,C
Palsson Master. Gosta Leonard,male,2,3,0,3,21.08,S
Mayne Mlle. Berthe Antonine,female,24,1,1,0,49.5,C
Svensson Mr. Johan,male,74,3,0,0,7.78,S
Beesley Mr. Lawrence,male,34,2,1,0,13,S
Hold Mr. Stephen,male,44,2,0,1,26,S
Sivola Mr. Antti Wilhelm,male,21,3,0,0,7.93,S
Jacobsohn Mrs. Sidney Samuel (Amy Frances Christy),female,24,2,1,2,27,S
Masselmani Mrs. Fatima,female,,3,1,0,7.23,C
Zimmerman Mr. Leo,male,29,3,0,0,7.88,S
Smart Mr. John Montgomery,male,56,1,0,0,26.55,S
Larsson Mr. August Viktor,male,29,3,0,0,9.48,S
Mannion Miss. Margareth,female,,3,1,0,7.74,Q
Bowerman Miss. Elsie Edith,female,22,1,1,0,55,S
Niskanen Mr. Juha,male,39,3,1,0,7.93,S
Gustafsson Mr. Johan Birger,male,28,3,0,2,7.93,S
Goodwin Mr. Charles Edward,male,14,3,0,5,46.9,S
Stranden Mr. Juho,male,31,3,1,0,7.93,S
Soholt Mr. Peter Andreas Lauritz Andersen,male,19,3,0,0,7.65,S
Caldwell Mrs. Albert Francis (Sylvia Mae Harbaugh),female,22,2,1,1,29,S
Shellard Mr. Frederick William,male,,3,0,0,15.1,S
Moss Mr. Albert Johan,male,,3,1,0,7.78,S
Stone Mrs. George Nelson (Martha Evelyn),female,62,1,1,0,80,
Colley Mr. Edward Pomeroy,male,47,1,0,0,25.59,S
Duff Gordon Lady. (Lucille Christiana Sutherland),female,48,1,1,1,39.6,C
Icard Miss. Amelie,female,38,1,1,0,80,
Dick Mrs. Albert Adrian (Vera Gillespie),female,17,1,1,1,57,S
Allen Mr. William Henry,male,35,3,0,0,8.05,S
Carbines Mr. William,male,19,2,0,0,13,S
Ringhini Mr. Sante,male,22,1,0,0,135.63,C
Hickman Mr. Leonard Mark,male,24,2,0,2,73.5,S
Sdycoff Mr. Todor,male,,3,0,0,7.9,S
Ryan Mr. Patrick,male,,3,0,0,24.15,Q
Rintamaki Mr. Matti,male,35,3,0,0,7.13,S
Taylor Mr. Elmer Zebley,male,48,1,1,1,52,S
Boulos Miss. Nourelain,female,9,3,0,1,15.25,C
Skoog Master. Harald,male,4,3,0,3,27.9,S
Parrish Mrs. (Lutie Davis),female,50,2,1,0,26,S
Wick Mrs. George Dennick (Mary Hitchcock),female,45,1,1,1,164.87,S
Davies Master. John Morgan Jr,male,8,2,1,1,36.75,S
Weisz Mrs. Leopold (Mathilde Francoise Pede),female,29,2,1,1,26,S
Barber Miss. Ellen,female,26,1,1,0,78.85,S
Mack Mrs. (Mary),female,57,2,0,0,10.5,S
Carter Mr. William Ernest,male,36,1,1,1,120,S
Leinonen Mr. Antti Gustaf,male,32,3,0,0,7.93,S
Berriman Mr. William John,male,23,2,0,0,13,S
Penasco y Castellana Mr. Victor de Satode,male,18,1,0,1,108.9,C
Bystrom Mrs. (Karolina),female,42,2,1,0,13,S
Moraweck Dr. Ernest,male,54,2,0,0,14,S
Brewe Dr. Arthur Jackson,male,,1,0,0,39.6,C
Collyer Mrs. Harvey (Charlotte Annie Tate),female,31,2,1,1,26.25,S
Thorneycroft Mr. Percival,male,,3,0,1,16.1,S
Navratil Master. Michel M,male,3,2,1,1,26,S
Barbara Mrs. (Catherine David),female,45,3,0,0,14.45,C
Harper Rev. John,male,28,2,0,0,33,S
Toomey Miss. Ellen,female,50,2,1,0,10.5,S
Brown Miss. Amelia,female,24,2,1,0,13,S
Saad Mr. Khalil,male,25,3,0,0,7.23,C
Rothes the Countess. of (Lucy Noel Martha Dyer-Edwards),female,33,1,1,0,86.5,S
Williams Mr. Charles Eugene,male,,2,1,0,13,S
Burns Miss. Elizabeth Margaret,female,41,1,1,0,134.5,C
Brocklebank Mr. William Alfred,male,35,3,0,0,8.05,S
Waelens Mr. Achille,male,22,3,0,0,9,S
Toufik Mr. Nakli,male,,3,0,0,7.23,C
Hickman Mr. Stanley George,male,21,2,0,2,73.5,S
Appleton Mrs. Edward Dale (Charlotte Lamson),female,53,1,1,2,51.48,S
Madill Miss. Georgette Alexandra,female,15,1,1,0,211.34,S
Thomas Master. Assad Alexander,male,1,3,1,0,8.52,C
Beckwith Mr. Richard Leonard,male,37,1,1,1,52.55,S
Rommetvedt Mr. Knud Paust,male,,3,0,0,7.78,S
Yousseff Mr. Gerious,male,,3,0,0,14.46,C
Lievens Mr. Rene Aime,male,24,3,0,0,9.5,S
Andersson Miss. Ebba Iris Alfrida,female,6,3,0,4,31.28,S
Hippach Miss. Jean Gertrude,female,16,1,1,0,57.98,C
Theobald Mr. Thomas Leonard,male,34,3,0,0,8.05,S
Moutal Mr. Rahamin Haim,male,,3,0,0,8.05,S
Petranec Miss. Matilda,female,28,3,0,0,7.9,S
Denkoff Mr. Mitto,male,,3,0,0,7.9,S
Warren Mrs. Frank Manley (Anna Sophia Atkinson),female,60,1,1,1,75.25,C
Flynn Mr. James,male,,3,0,0,7.75,Q
Ford Miss. Robina Maggie,female,9,3,0,2,34.38,S
Aks Mrs. Sam (Leah Rosen),female,18,3,1,0,9.35,S
Van Impe Miss. Catharina,female,10,3,0,0,24.15,S
Scanlan Mr. James,male,,3,0,0,7.73,Q
Olsen Mr. Ole Martin,male,,3,0,0,7.31,S
Sutton Mr. Frederick,male,61,1,0,0,32.32,S
Tobin Mr. Roger,male,,3,0,0,7.75,Q
Fortune Miss. Mabel Helen,female,23,1,1,3,263,S
Lefebre Miss. Mathilde,female,,3,0,3,25.47,S
Collyer Miss. Marjorie,female,8,2,1,0,26.25,S
Henry Miss. Delia,female,,3,0,0,7.75,Q
Samaan Mr. Youssef,male,,3,0,2,21.68,C
Kent Mr. Edward Austin,male,58,1,0,0,29.7,C
Smith Mr. James Clinch,male,56,1,0,0,30.7,C
Thorne Mrs. Gertrude Maybelle,female,,1,1,0,79.2,C
Richards Master. George Sibley,male,1,2,1,1,18.75,S
Gheorgheff Mr. Stanio,male,,3,0,0,7.9,C
Caldwell Master. Alden Gates,male,1,2,1,0,29,S
Charters Mr. David,male,21,3,0,0,7.73,Q
Corn Mr. Harry,male,30,3,0,0,8.05,S
Goldschmidt Mr. George B,male,71,1,0,0,34.65,C
de Pelsmaeker Mr. Alfons,male,16,3,0,0,9.5,S
Moran Mr. Daniel J,male,,3,0,1,24.15,Q
Johnston Mr. Andrew G,male,,3,0,1,23.45,S
Burke Mr. Jeremiah,male,19,3,0,0,6.75,Q
Kink-Heilmann Miss. Luise Gretchen,female,4,3,1,0,22.03,S
Taussig Mrs. Emil (Tillie Mandelbaum),female,39,1,1,1,79.65,S
Mamee Mr. Hanna,male,,3,1,0,7.23,C
Lefebre Master. Henry Forbes,male,,3,0,3,25.47,S
Seward Mr. Frederic Kimber,male,34,1,1,0,26.55,S
Futrelle Mr. Jacques Heath,male,37,1,0,1,53.1,S
Touma Mrs. Darwis (Hanne Youssef Razi),female,29,3,1,0,15.25,C
Somerton Mr. Francis William,male,30,3,0,0,8.05,S
Harper Mr. Henry Sleeper,male,48,1,1,1,76.73,C
Natsch Mr. Charles H,male,37,1,0,0,29.7,C
Aubart Mme. Leontine Pauline,female,24,1,1,0,69.3,C
Wick Miss. Mary Natalie,female,31,1,1,0,164.87,S
Becker Miss. Marion Louise,female,4,2,1,2,39,S
Daly Mr. Peter Denis,male,51,1,1,0,26.55,S
Hale Mr. Reginald,male,30,2,0,0,13,S
Lurette Miss. Elise,female,58,1,1,0,146.52,C
Robbins Mr. Victor,male,,1,0,0,227.53,C
Ford Mrs. Edward (Margaret Ann Watson),female,48,3,0,1,34.38,S
Slabenoff Mr. Petco,male,,3,0,0,7.9,S
Rogers Mr. William John,male,,3,0,0,8.05,S
Pavlovic Mr. Stefo,male,32,3,0,0,7.9,S
Lester Mr. James,male,39,3,0,0,24.15,S
Harmer Mr. Abraham (David Lishin),male,25,3,0,0,7.25,S
Kraeff Mr. Theodor,male,,3,0,0,7.9,C
Goodwin Master. William Frederick,male,11,3,0,5,46.9,S
Gee Mr. Arthur H,male,47,1,0,0,38.5,S
Palsson Miss. Stina Viola,female,3,3,0,3,21.08,S
Cairns Mr. Alexander,male,,1,0,0,31,S
Sjoblom Miss. Anna Sofia,female,18,3,1,0,7.5,S
Healy Miss. Hanora,female,,3,1,0,7.75,Q
Mockler Miss. Helen Mary (Ellie),female,,3,1,0,7.88,Q
Thayer Mr. John Borland,male,49,1,0,1,110.88,C
Hocking Mrs. Elizabeth (Eliza Needs),female,54,2,1,1,23,S
Meyer Mr. August,male,39,2,0,0,13,S
Parkes Mr. Francis,male,,2,0,0,0,S
Byles Rev. Thomas Roussel Davids,male,42,2,0,0,13,S
Nasser Mrs. Nicholas (Adele Achem),female,14,2,1,1,30.07,C
Sirayanian Mr. Orsen,male,22,3,0,0,7.23,C
Cacic Miss. Marija,female,30,3,0,0,8.66,S
Petroff Mr. Pastcho,male,,3,0,0,7.9,S
Phillips Miss. Kate Florence,female,19,2,1,0,26,S
Birkeland Mr. Hans Martin Monsen,male,21,3,0,0,7.78,S
Heikkinen Miss. Laina,female,26,3,1,0,7.93,S
Sundman Mr. Johan Julian,male,44,3,1,0,7.93,S
Richards Mrs. Sidney (Emily Hocking),female,24,2,1,2,18.75,S
Goldenberg Mrs. Samuel L (Edwiga Grabowska),female,,1,1,1,89.1,C
Markun Mr. Johann,male,33,3,0,0,7.9,S
Banfield Mr. Frederick James,male,28,2,0,0,10.5,S
Gaskell Mr. Alfred,male,16,2,0,0,26,S
de Mulder Mr. Theodore,male,30,3,1,0,9.5,S
Jenkin Mr. Stephen Curnow,male,32,2,0,0,10.5,S
Ford Miss. Doolina Margaret,female,21,3,0,2,34.38,S
Sage Mr. Frederick,male,,3,0,8,69.55,S
Nirva Mr. Iisakki Antino Aijo,male,41,3,0,0,7.13,S
Dennis Mr. Samuel,male,22,3,0,0,7.25,S
Hoyt Mrs. Frederick Maxfield (Jane Anne Forby),female,35,1,1,1,90,S
Humblen Mr. Adolf Mathias Nicolai Olsen,male,42,3,0,0,7.65,S
van Melkebeke Mr. Philemon,male,,3,0,0,9.5,S
Jussila Miss. Katriina,female,20,3,0,1,9.83,S
Andersson Miss. Ellis Anna Maria,female,2,3,0,4,31.28,S
Van Impe Mr. Jean Baptiste,male,36,3,0,1,24.15,S
Rice Mrs. William (Margaret Norton),female,39,3,0,0,29.13,Q
Emir Mr. Farred Chehab,male,,3,0,0,7.23,C
Abbing Mr. Anthony,male,42,3,0,0,7.55,S
Jussila Miss. Mari Aina,female,21,3,0,1,9.83,S
Hawksford Mr. Walter James,male,,1,1,0,30,S
Davies Mr. Charles Henry,male,18,2,0,0,73.5,S
Levy Mr. Rene Jacques,male,36,2,0,0,12.88,C
Graham Mr. George Edward,male,38,1,0,0,153.46,S
Zabour Miss. Hileni,female,14,3,0,1,14.45,C
Ali Mr. William,male,25,3,0,0,7.05,S
Nicola-Yarred Miss. Jamila,female,14,3,1,1,11.24,C
Maioni Miss. Roberta,female,16,1,1,0,86.5,S
Markoff Mr. Marin,male,35,3,0,0,7.9,C
Turpin Mrs. William John Robert (Dorothy Ann Wonnacott),female,27,2,0,1,21,S
Lennon Mr. Denis,male,,3,0,1,15.5,Q
Slocovski Mr. Selman Francis,male,,3,0,0,8.05,S
Herman Miss. Alice,female,24,2,1,1,65,S
Fischer Mr. Eberhard Thelander,male,18,3,0,0,7.8,S
Navratil Master. Edmond Roger,male,2,2,1,1,26,S
Kenyon Mrs. Frederick R (Marion),female,,1,1,1,51.86,S
Stankovic Mr. Ivan,male,33,3,0,0,8.66,C
Young Miss. Marie Grice,female,36,1,1,0,135.63,C
O'Connell Mr. Patrick D,male,,3,0,0,7.73,Q
Mitkoff Mr. Mito,male,,3,0,0,7.9,S
Longley Miss. Gretchen Fiske,female,21,1,1,0,77.96,S
Staneff Mr. Ivan,male,,3,0,0,7.9,S
Sage Mr. George John Jr,male,,3,0,8,69.55,S
Johnson Mr. Alfred,male,49,3,0,0,0,S
Myhrman Mr. Pehr Fabian Oliver Malkolm,male,18,3,0,0,7.75,S
Yrois Miss. Henriette,female,24,2,0,0,13,S
O'Leary Miss. Hanora,female,,3,1,0,7.83,Q
Torber Mr. Ernst William,male,44,3,0,0,8.05,S
Robins Mrs. Alexander A (Grace Charity Laury),female,47,3,0,1,14.5,S
Peters Miss. Katie,female,,3,0,0,8.14,Q
Persson Mr. Ernst Ulrik,male,25,3,1,1,7.78,S
Alhomaki Mr. Ilmari Rudolf,male,20,3,0,0,7.93,S
Dimic Mr. Jovan,male,42,3,0,0,8.66,S
Richard Mr. Emile,male,23,2,0,0,15.05,C
Coutts Master. Eden Leslie,male,9,3,1,1,15.9,S
Ford Mr. William Neal,male,16,3,0,1,34.38,S
Edvardsson Mr. Gustaf Hjalmar,male,18,3,0,0,7.78,S
Zabour Miss. Thamine,female,,3,0,1,14.45,C
Harris Mrs. Henry Birkhardt (Irene Wallach),female,35,1,1,1,83.48,S
Christy Miss. Julie Rachel,female,25,2,1,1,30,S
Nosworthy Mr. Richard Cater,male,21,3,0,0,7.8,S
Allison Miss. Helen Loraine,female,2,1,0,1,151.55,S
Lefebre Miss. Jeannie,female,,3,0,3,25.47,S
Marechal Mr. Pierre,male,,1,1,0,29.7,C
Ilett Miss. Bertha,female,17,2,1,0,10.5,S
Vander Planke Miss. Augusta Maria,female,18,3,0,2,18,S
Naidenoff Mr. Penko,male,22,3,0,0,7.9,S
West Miss. Constance Mirium,female,5,2,1,1,27.75,S
Baxter Mr. Quigg Edmond,male,24,1,0,0,247.52,C
Murphy Miss. Margaret Jane,female,,3,1,1,15.5,Q
Nakid Mr. Sahid,male,20,3,1,1,15.74,C
Garfirth Mr. John,male,,3,0,0,14.5,S
Sage Mr. Douglas Bullen,male,,3,0,8,69.55,S
Mangan Miss. Mary,female,30,3,0,0,7.75,Q
Millet Mr. Francis Davis,male,65,1,0,0,26.55,S
Dean Master. Bertram Vere,male,1,3,1,1,20.58,S
Williams Mr. Charles Duane,male,51,1,0,0,61.38,C
Webber Miss. Susan,female,32,2,1,0,13,S
Najib Miss. Adele Kiamie,female,15,3,1,0,7.23,C
Watson Mr. Ennis Hastings,male,,2,0,0,0,S
Troupiansky Mr. Moses Aaron,male,23,2,0,0,13,S
Vander Cruyssen Mr. Victor,male,47,3,0,0,9,S
Sadlier Mr. Matthew,male,,3,0,0,7.73,Q
Giles Mr. Frederick Edward,male,21,2,0,1,11.5,S
Heininen Miss. Wendla Maria,female,23,3,0,0,7.93,S
Brown Mr. Thomas William Solomon,male,60,2,0,1,39,S
Ilmakangas Miss. Pieta Sofia,female,25,3,0,1,7.93,S
Ahlin Mrs. Johan (Johanna Persdotter Larsson),female,40,3,0,1,9.48,S
Smiljanic Mr. Mile,male,,3,0,0,8.66,S
Rosblom Mrs. Viktor (Helena Wilhelmina),female,41,3,0,0,20.21,S
Salkjelsvik Miss. Anna Kristine,female,21,3,1,0,7.65,S
Wiklund Mr. Jakob Alfred,male,18,3,0,1,6.5,S
Fahlstrom Mr. Arne Jonas,male,18,2,0,0,13,S
Sage Miss. Stella Anna,female,,3,0,8,69.55,S
Hassan Mr. Houssein G N,male,11,3,0,0,18.79,C
Moor Mrs. (Beila),female,27,3,1,0,12.48,S
Leonard Mr. Lionel,male,36,3,0,0,0,S
Parr Mr. William Henry Marsh,male,,1,0,0,0,S
Mullens Miss. Katherine,female,,3,1,0,7.73,Q
Dowdell Miss. Elizabeth,female,30,3,1,0,12.48,S
Cunningham Mr. Alfred Fleming,male,,2,0,0,0,S
Risien Mr. Samuel Beard,male,,3,0,0,14.5,S
Elsbury Mr. William James,male,47,3,0,0,7.25,S
Goldenberg Mr. Samuel L,male,49,1,1,1,89.1,C
Jarvis Mr. John Denzil,male,47,2,0,0,15,S
Lahoud Mr. Sarkis,male,,3,0,0,7.23,C
Greenberg Mr. Samuel,male,52,2,0,0,13,S
Chronopoulos Mr. Apostolos,male,26,3,0,1,14.45,C
Laitinen Miss. Kristina Sofia,female,37,3,0,0,9.59,S
Bracken Mr. James H,male,27,2,0,0,13,S
Crosby Capt. Edward Gifford,male,70,1,0,1,71,S
Drew Mrs. James Vivian (Lulu Thorne Christian),female,34,2,1,1,32.5,S
Pasic Mr. Jakob,male,21,3,0,0,8.66,S
Pinsky Mrs. (Rosa),female,32,2,1,0,13,S
Ball Mrs. (Ada E Hall),female,36,2,1,0,13,S
Jansson Mr. Carl Olof,male,21,3,1,0,7.8,S
Moor Master. Meier,male,6,3,1,0,12.48,S
Stead Mr. William Thomas,male,62,1,0,0,26.55,S
Potter Mrs. Thomas Jr (Lily Alexenia Wilson),female,56,1,1,0,83.16,C
Collander Mr. Erik Gustaf,male,28,2,0,0,13,S
Moen Mr. Sigurd Hansen,male,25,3,0,0,7.65,S
Jensen Mr. Hans Peder,male,20,3,0,0,7.85,S
Palsson Mrs. Nils (Alma Cornelia Berglund),female,29,3,0,0,21.08,S
Davidson Mr. Thornton,male,31,1,0,1,52,S
Gustafsson Mr. Anders Vilhelm,male,37,3,0,2,7.93,S
Patchett Mr. George,male,19,3,0,0,14.5,S
Nakid Miss. Maria,female,1,3,1,0,15.74,C
Lovell Mr. John Hall,male,20,3,0,0,7.25,S
Louch Mrs. Charles Alexander (Alice Adelaide Slow),female,42,2,1,1,26,S
Sobey Mr. Samuel James Hayden,male,25,2,0,0,13,S
Haas Miss. Aloisia,female,24,3,0,0,8.85,S
Herman Mrs. Samuel (Jane Laver),female,48,2,1,1,65,S
Chapman Mr. John Henry,male,37,2,0,1,26,S
McMahon Mr. Martin,male,,3,0,0,7.75,Q
Kallio Mr. Nikolai Erland,male,17,3,0,0,7.13,S
Widener Mr. Harry Elkins,male,27,1,0,0,211.5,C
Elias Mr. Joseph Jr,male,17,3,0,1,7.23,C
Hickman Mr. Lewis,male,32,2,0,2,73.5,S
Hoyt Mr. Frederick Maxfield,male,38,1,1,1,90,S
McDermott Miss. Brigdet Delia,female,,3,1,0,7.79,Q
Ekstrom Mr. Johan,male,45,3,0,0,6.98,S
Beane Mr. Edward,male,32,2,1,1,26,S
Tomlin Mr. Ernest Portage,male,30,3,0,0,8.05,S
Mellinger Mrs. (Elizabeth Anne Maidment),female,41,2,1,0,19.5,S
Milling Mr. Jacob Christian,male,48,2,0,0,13,S
Frolicher-Stehli Mr. Maxmillian,male,60,1,1,1,79.2,C
Frauenthal Dr. Henry William,male,50,1,1,2,133.65,S
Celotti Mr. Francesco,male,24,3,0,0,8.05,S
Attalah Miss. Malake,female,17,3,0,0,14.46,C
Beavan Mr. William Thomas,male,19,3,0,0,8.05,S
Bryhl Mr. Kurt Arnold Gottfrid,male,25,2,0,1,26,S
Farthing Mr. John,male,,1,0,0,221.78,S
Butt Major. Archibald Willingham,male,45,1,0,0,26.55,S
Renouf Mrs. Peter Henry (Lillian Jefferys),female,30,2,1,3,21,S
Uruchurtu Don. Manuel E,male,40,1,0,0,27.72,C
Renouf Mr. Peter Henry,male,34,2,0,1,21,S
Baclini Miss. Helene Barbara,female,1,3,1,2,19.26,C
Morrow Mr. Thomas Rowan,male,,3,0,0,7.75,Q
Rosblom Mr. Viktor Richard,male,18,3,0,1,20.21,S
Garside Miss. Ethel,female,34,2,1,0,13,S
Hegarty Miss. Hanora,female,18,3,0,0,6.75,Q
Maisner Mr. Simon,male,,3,0,0,8.05,S
Dorking Mr. Edward Arthur,male,19,3,1,0,8.05,S
Jensen Mr. Svend Lauritz,male,17,3,0,1,7.05,S
Slemen Mr. Richard James,male,35,2,0,0,10.5,S
Jonkoff Mr. Lalio,male,23,3,0,0,7.9,S
Laleff Mr. Kristo,male,,3,0,0,7.9,S
Campbell Mr. William,male,,2,0,0,0,S
Collyer Mr. Harvey,male,31,2,0,1,26.25,S
West Mr. Edwy Arthur,male,36,2,0,1,27.75,S
Johansson Mr. Erik,male,22,3,0,0,7.8,S
McCoy Miss. Agnes,female,,3,1,2,23.25,Q
Hansen Mr. Henrik Juul,male,26,3,0,1,7.85,S
Adahl Mr. Mauritz Nils Martin,male,30,3,0,0,7.25,S
Hansen Mr. Henry Damsgaard,male,21,3,0,0,7.85,S
Newell Miss. Marjorie,female,23,1,1,1,113.28,C
Thayer Mr. John Borland Jr,male,17,1,1,0,110.88,C
Matthews Mr. William John,male,30,2,0,0,13,S
Duff Gordon Sir. Cosmo Edmund,male,49,1,1,1,56.93,C
Bradley Mr. George (George Arthur Brayton),male,,1,1,0,26.55,S
Chambers Mr. Norman Campbell,male,27,1,1,1,53.1,S
Canavan Miss. Mary,female,21,3,0,0,7.75,Q
Odahl Mr. Nils Martin,male,23,3,0,0,9.23,S
Mallet Mr. Albert,male,31,2,0,1,37,C
Hansen Mr. Claus Peter,male,41,3,0,2,14.11,S
Sinkkonen Miss. Anna,female,30,2,1,0,13,S
Andersson Miss. Sigrid Elisabeth,female,11,3,0,4,31.28,S
Meyer Mrs. Edgar Joseph (Leila Saks),female,,1,1,1,82.17,C
Hagland Mr. Ingvald Olai Olsen,male,,3,0,1,19.97,S
Johnson Master. Harold Theodor,male,4,3,1,1,11.13,S
Kelly Miss. Anna Katherine,female,,3,1,0,7.75,Q
Skoog Mr. Wilhelm,male,40,3,0,1,27.9,S
Homer Mr. Harry,male,35,1,1,0,26.55,C
Crease Mr. Ernest James,male,19,3,0,0,8.16,S
Lundahl Mr. Johan Svensson,male,51,3,0,0,7.05,S
Giglio Mr. Victor,male,24,1,0,0,79.2,C
Kalvik Mr. Johannes Halvorsen,male,21,3,0,0,8.43,S
Leader Dr. Alice (Farnham),female,49,1,1,0,25.93,S
Navratil Mr. Michel,male,36,2,0,0,26,S
Asplund Mrs. Carl Oscar (Selma Augusta Emilia Johansson),female,38,3,1,1,31.39,S
Harper Miss. Annie Jessie,female,6,2,1,0,33,S
Saad Mr. Amin,male,,3,0,0,7.23,C
Hood Mr. Ambrose Jr,male,21,2,0,0,73.5,S
Doling Mrs. John T (Ada Julia Bone),female,34,2,1,0,23,S
Cherry Miss. Gladys,female,30,1,1,0,86.5,S
Angle Mrs. William,female,36,2,1,1,26,S
Doharr Mr. Tannous,male,,3,0,0,7.23,C
Stanley Miss. Amy Zillah Elsie,female,23,3,1,0,7.55,S
Nicholls Mr. Joseph Charles,male,19,2,0,1,36.75,S
McGovern Miss. Mary,female,,3,1,0,7.88,Q
Frolicher Miss. Hedwig Margaritha,female,22,1,1,0,49.5,C
Nye Mrs. (Elizabeth Ramell),female,29,2,1,0,10.5,S
Brown Mrs. Thomas William Solomon (Elizabeth Catherine Ford),female,40,2,1,1,39,S
Kelly Mrs. Florence,female,45,2,1,0,13.5,S
Cann Mr. Ernest Charles,male,21,3,0,0,8.05,S
Reeves Mr. David,male,36,2,0,0,10.5,S
Minahan Miss. Daisy E,female,33,1,1,1,90,Q
Abbott Mr. Rossmore Edward,male,16,3,0,1,20.25,S
